0:00:01.00 --> 0:00:02.71 | 各位，
0:22:10.75 --> 0:22:14.13 | 这个应该只在本地运行器上运行。
0:22:14.13 --> 0:22:18.34 | ”我喜欢把我的规划器放在fable上。
0:22:18.34 --> 0:22:22.32 | 所以，我说：“好的，所有计划代理应该在云端运行，
0:22:22.32 --> 0:22:25.40 | 所有工作代理应该在grok上运行，
0:22:25.40 --> 0:22:27.99 | 因为grok 4.6非常快，我很喜欢用它。
0:22:27.99 --> 0:22:31.00 | ”所以，我也可以设置这些。
0:22:31.00 --> 0:22:32.24 | 所以，是的。
0:22:32.24 --> 0:22:36.77 | 我现在开始我的一天，有这么多实施工作，
0:22:36.77 --> 0:22:39.79 | 我的整个视频游戏都是这个系统开发的。
0:22:39.79 --> 0:22:49.61 | 我现在做的就是早上写个规格说明，嗯，什么是规格说明？
0:22:49.61 --> 0:22:51.37 | 如果你还没用过的话。
0:22:51.37 --> 0:22:52.79 | 哦，我不需要打开。
0:22:52.79 --> 0:22:54.90 | 总之，就像一份需要发生的事情的清单。
0:22:54.90 --> 0:22:58.24 | 我把它扔进目标系统。它写完成定义。
0:22:58.24 --> 0:23:01.03 | 我批准，然后它运行5到6个小时。
0:23:01.03 --> 0:23:02.55 | 我可以做任何我想做的事。
0:23:02.55 --> 0:23:06.09 | 一天结束时，我收到一个PR，我审查并合并它，
0:23:06.09 --> 0:23:07.38 | 然后第二天再开始。
0:23:07.38 --> 0:23:15.00 | 所以，让这些代理为我做所有事情真的很有趣，我什么都不用做。嗯，所以，这
0:23:15.00 --> 0:23:15.71 | 真的非常非常好。
0:23:15.71 --> 0:23:19.99 | 嗯，你可能会觉得这是很多手动工作。
0:23:19.99 --> 0:23:22.73 | 所以，我最后要展示的是，
0:23:22.73 --> 0:23:31.25 | 我在这里的每个项目都有一个AgentOS文件，模拟了在线内容。
0:23:31.25 --> 0:23:41.76 | 所以，代理都格式化为YAML文件。
0:23:41.76 --> 0:23:46.15 | 技能都是YAML文件。
0:23:46.15 --> 0:23:52.63 | 模板都是YAML文件，稍后我会讲到。比如，规格代理。规格代理，
0:23:52.63 --> 0:23:57.00 | 模型是open for put eight。
0:23:57.00 --> 0:23:59.02 | 它有这些技能，这些MCP连接，访问这个仓库。
0:23:59.02 --> 0:24:01.88 | 它有提示词，说明它如何工作。
0:24:01.88 --> 0:24:07.35 | 我有一个CLI AgentOS帮助，我相信，
0:24:07.35 --> 0:24:19.97 | 可以推送和拉取这些，但它也可以为我创建项目。
0:24:19.97 --> 0:24:23.74 | 所以，我可以同步这些，拉取这些，嗯，
0:24:23.74 --> 0:24:30.28 | 基本上保持它们最新并同步，但我也可以启动项目。所以，
0:24:30.28 --> 0:24:42.00 | 用CLI为我在AgentOS中创建一个canary项目。
0:24:42.00 --> 0:24:47.15 | 所以，大多数时候我在本地和Claude聊天，
0:24:47.15 --> 0:24:49.71 | 当我在头脑风暴时。完成后，
0:24:49.71 --> 0:24:56.82 | 我告诉我的CLI为我在AgentOS上创建一个目标或会话，包含所有细节。
0:24:56.82 --> 0:24:59.83 | 它创建任务，知道要应用哪些代理。
0:24:59.83 --> 0:25:10.00 | 但我也可以很容易地调整代理，创建新技能。嗯，总之。
0:25:10.00 --> 0:25:13.60 | 所以，我可以很容易地调整东西。
0:25:13.60 --> 0:25:16.99 | 这对模板特别有帮助。
0:25:16.99 --> 0:25:20.99 | 所以，我刚展示了我的完整功能实施，里面有变量、
0:25:20.99 --> 0:25:26.89 | 分支名，嗯，这样我就能很容易地创建这些循环任务，
0:25:26.89 --> 0:25:28.47 | 而不必手动实现它们。
0:25:28.47 --> 0:25:33.43 | 我基本上让Claude Code为我实现这些步骤。
0:25:33.43 --> 0:25:36.56 | 所以，你可以看到规格步骤、计划步骤、计划审查步骤，
0:25:36.56 --> 0:25:44.00 | 这些都是模板任务，每个都有自己的代理和提示词。
0:25:44.27 --> 0:25:48.95 | 这就是AgentOS。
0:25:48.95 --> 0:25:51.39 | 一个视频里讲了很多。
0:25:51.39 --> 0:25:53.67 | 请在评论里再次告诉我你想深入了解什么，
0:25:53.67 --> 0:25:56.26 | 想深入探讨什么，想要什么信息。
0:25:56.26 --> 0:25:59.07 | 如果你想要我的代理、我的技能、我的提示词，
0:25:59.07 --> 0:26:03.27 | 我很乐意开源它们并放到GitHub上。
0:26:03.27 --> 0:26:05.35 | 嗯，所以，就这样。
0:26:05.35 --> 0:26:07.00 | 谢谢，希望这有用，再见。
0:26:07.00 --> 0:26:09.52 | 再见。
